Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200,Description
TNDM,"Tandem Diabetes Care, Inc.",Healthcare,Medical Devices,USA,2740000000.0,,42.69,-0.0311,479471.0,Channel Down,1,-,-1.06,0.10%,64.24M,3.14%,-,-0.57,-28.02%,62.97M,-5.39%,-67.90M,-,-0.06,-,8.27% / 5.25,11.26%,790.70M,3.47,142.90%,2.15%,5.21M,-20.71%,6.57,6.50,55.50%,-6.80%,59.93,-63.23%,9.48,4.50,-,-15.60%,33.51,124.03,-5.03%,-,91.07,15.00%,3.10%,-65.58%,0.83,-,4.20,52.80%,52.00%,27.38%,2.14,2000,4.80,13.90%,-7.90%,50.76,5.25%,5.43%,Yes,0.67,-952.40%,-8.60%,0.48,44.06,Yes,0.67,Feb 22 AMC,-,991.54K,2.10,1.80%,0.81%,-21.41%,"Tandem Diabetes Care, Inc., a medical device company, designs, develops, and commercializes various products for people with insulin-dependent diabetes in the United States and internationally. The company's flagship product is the t:slim X2 insulin delivery system, a pump platform that comprises t:slim X2 pump, its 300-unit disposable insulin cartridge, and an infusion set. It also provides t:slim X2 insulin with Basal-IQ and control IQ technology; t:slim X2 with G5 Integration; and Tandem Device Updater, a tool that allows users to update their pump's software. In addition, the company offers t:connect, a web-based data management application, which provides a visual way to display diabetes therapy management data from the pump, continuous glucose monitoring, and supported blood glucose meters for users, their caregivers, and their healthcare providers; and Sugarmate, a mobile app for people with diabetes who use insulin. It has development and commercialization agreements with Dexcom, Inc. and Abbott Laboratories. The company was formerly known as Phluid Inc. and changed its name to Tandem Diabetes Care, Inc. in January 2008. Tandem Diabetes Care, Inc. was incorporated in 2006 and is headquartered in San Diego, California."
AACIW,Armada Acquisition Corp. I,Financial,Shell Companies,USA,,,0.11,0.0649,75634.0,Channel Down,1,-,-,-,-,15.15%,-,-,-,-,665.33%,-,-,-,-,- / -,-23.47%,-,-,-,-,-,-62.96%,-,-,-,-,-,-,-,-,-,-,0.01,0.41,270.32%,-,-,-,-,-72.33%,-,-,-,-,-,818.40%,0.04,-,-,-,-,59.38,39.02%,134.74%,No,-,-,-,1.49,0.11,No,-,-,-,50.67K,-,33.79%,106.76%,-49.18%,"Armada Acquisition Corp. I focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, recapitalization, reorganization, or related business combination with one or more businesses. It intends to focus on target businesses that provide technological services to the financial services industry. The company was incorporated in 2020 and is based in Philadelphia, Pennsylvania."
TANH,Tantech Holdings Ltd,Consumer Defensive,Household & Personal Products,China,3730000.0,,3.03,0.0134,5775.0,Channel Down,1,-,-6.72,3.76%,1.22M,-5.61%,-,-,0.00%,1.17M,-5.61%,0.30M,-,-,10.40%,2.63% / 0.33,17.99%,61.70M,0.06,8.60%,-15.80%,0.03M,-54.39%,155.90,0.02,-,0.20%,-,-95.83%,8.78,0.35,-,0.30%,1.82,76.78,40.93%,-,-,-21.90%,-8.70%,-96.05%,0.19,-,6.60,6.70%,18.80%,66.48%,0.34,51,6.60,17.90%,0.60%,53.02,8.82%,13.83%,No,0.06,-73.90%,0.50%,0.06,2.99,Yes,0.00,-,-,92.64K,-,1.31%,14.31%,-40.08%,"Tantech Holdings Ltd, together with its subsidiaries, develops and manufactures bamboo-based charcoal products for industrial energy, household cooking, heating, purification, agricultural, and cleaning applications in the People's Republic of China and internationally. The company operates in two segments: Consumer Products and Electric Vehicle. It provides pressed and formed charcoal briquettes for use in grills, incense burners, and other applications under the Algold brand. The company also offers Charcoal Doctor branded products, such as air purifiers and humidifiers, automotive accessories for air purification, underfloor humidity control products, pillows and mattresses, wardrobe deodorizers, mouse pads and wrist mats, refrigerator deodorants, charcoal toilet cleaner disks, liquid charcoal cleaners, shoe insoles, and decorative charcoal gifts. In addition, it provides bamboo vinegar, a liquid byproduct for use in disinfectants, detergents, lotions, specialized soaps, toilet cleaners, and fertilizers, as well as in various agricultural applications; and trades in charcoal products. Further, the company develops and sells electric buses, electric logistics cars, and specialty electric vehicles, such as brushless cleaning cars, electric cleaning cars, special emergency vehicles, and funeral cars; and solar cells, lithium-ion batteries, auto parts, and electric control systems. It is also involved in the supply chain business. The company was founded in 2001 and is headquartered in Lishui, the People's Republic of China."
TTNP,"Titan Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,14580000.0,,1.0,0.01,37443.0,Channel Down,1,-,-0.85,25.62%,14.63M,1.00%,-,-,1.56%,10.88M,6.37%,-10.20M,-,-,10.60%,0.87% / 2.22,2.04%,0.60M,24.30,54.10%,33.75%,0.09M,-25.38%,0.24,4.17,-,-123.70%,-,-20.64%,0.31,3.24,-,-183.10%,0.35,1.59,27.68%,-,-,-15.10%,-170.50%,-37.11%,1.07,-,2.00,-36.70%,-,186.01%,0.08,11,2.20,-66.70%,-,57.20,6.65%,8.79%,No,0.00,7.10%,-,0.88,0.99,Yes,0.00,-,-,42.63K,3.00,4.51%,9.86%,4.07%,"Titan Pharmaceuticals, Inc., a pharmaceutical company, develops therapeutics for the treatment of chronic diseases. It develops products based on ProNeura, a proprietary long-term drug delivery platform. The company offers Probuphine implant for the maintenance treatment of opioid use disorder in clinically stable patients in Canada and the European Union. It is also developing kappa opioid agonist peptide program (TP-2021) for use in combination with ProNeura technology for the treatment of chronic pruritus; nalmefene implant program for the prevention of opioid relapse following detoxification of patients suffering opioid use disorder; and other programs, including HIV preventative therapeutic and a contraceptive from a single ProNeura implant for women and adolescent girls. The company was incorporated in 1992 and is based in South San Francisco, California."
ASTC,Astrotech Corporation,Industrials,Aerospace & Defense,USA,20920000.0,,12.31,-0.0011,7828.0,Channel Down,1,-,-5.53,2.20%,1.61M,2.21%,-,-,-,1.50M,8.37%,-8.80M,-,-,18.90%,4.00% / 2.95,-7.88%,0.70M,29.89,49.50%,60.41%,0.06M,-15.77%,31.47,0.39,-,-15.50%,-,-37.85%,28.82,0.43,-,-16.30%,9.28,23.10,23.18%,-,-,42.70%,-15.90%,-46.73%,-0.65,-,26.40,-17.90%,25.80%,32.61%,0.56,14,27.20,-79.70%,-,65.66,3.95%,4.95%,No,0.01,-22.30%,-,0.39,12.32,Yes,0.00,-,-,20.29K,-,3.43%,13.16%,-5.92%,"Astrotech Corporation operates as a mass spectrometry company worldwide. It owns and licenses the intellectual property related to the Astrotech Mass Spectrometer Technology, a platform mass spectrometry technology. The company also develops TRACER 1000, a mass spectrometer-based explosive trace detector to replace the explosives trace detectors used at airports, cargo and other secured facilities, and borders. In addition, it develops AgLAB-1000, a mass spectrometer for use in the hemp and cannabis market. Further, the company develops BreathTest-1000, a breath analysis tool to screen for volatile organic compound metabolites found in a person's breath. The company was formerly known as SPACEHAB, Inc. and changed its name to Astrotech Corporation in 2009. Astrotech Corporation was incorporated in 1984 and is based in Austin, Texas."
SNOA,"Sonoma Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,4880000.0,,1.57,-0.0126,249206.0,Channel Down,1,-,-1.87,0.39%,3.10M,-4.85%,-,-,0.00%,3.09M,36.52%,-5.80M,-,-,5.80%,1.58% / 0.03,-9.77%,12.50M,0.39,17.10%,-3.22%,0.05M,-51.09%,2.26,0.69,-,-33.00%,-,-59.33%,1.09,1.44,-,-66.50%,1.00,4.25,40.18%,-,-,36.40%,-50.90%,-63.06%,1.09,-,2.70,-0.30%,34.30%,57.00%,0.19,12,3.50,-10.80%,-39.10%,53.37,6.59%,12.53%,No,0.03,-668.80%,-46.30%,0.13,1.59,Yes,0.00,-,-,1.86M,2.00,6.67%,11.47%,-35.66%,"Sonoma Pharmaceuticals, Inc., develops and produces stabilized hypochlorous acid (HOCl) products for wound care, animal health care, eye care, oral care, and dermatological conditions in the United States, Latin America, Europe, and internationally. The company offers Epicyn, an antimicrobial facial cleanser; Levicyn, an HOCl based prescription product to manage and relieve burning, itching, and pain experienced with various types of dermatoses; Celacyn gel, a HOCl-based topical prescription product indicated to promote efficient healing through the management of new and old scars; and SebuDerm to manage and relieve the burning, itching, erythema, scaling, and pain associated with seborrhea and seborrheic dermatitis. It also provides Acuicyn, a HOCl-based product indicated to relieve itch and inflammation while helping to keep areas around the eye clean; and Microcyn, a HOCl-based topical line of products designed to stimulate expedited healing by targeting a wide range of pathogens, as well as antibiotic-resistant strains that slow the natural healing of wounds. In addition, the company offers MicrocynAH, an HOCl-based solution designed to relieve common symptoms of hot spots, scratches, skin rashes post-surgical sites, and irritated animal skin for healing; Microdacyn60 oral care solution for the treatment of mouth and throat infections; MucoClyns for the use in emergencies and safe to use on mucous membranes, cuts, abrasions, burns, and body surfaces; Endocyn root canal irrigation solutions; Pediacyn atopic dermatitis hydrogel; Ocucyn eyelid and eyelash cleanser; Gramaderm for the treatment of topical mild to moderate acne; Nanocyn, a hospital-grade disinfectant; and Sinudox for nasal irrigation. The company was formerly known as Oculus Innovative Sciences, Inc. and changed its name to Sonoma Pharmaceuticals, Inc. in December 2016. Sonoma Pharmaceuticals, Inc. was incorporated in 1999 and is based in Woodstock, Georgia."
GTBP,"GT Biopharma, Inc.",Healthcare,Biotechnology,USA,25150000.0,,0.82,-0.09380000000000001,137708.0,Channel Down,1,-,-1.00,1.90%,31.38M,3.06%,-,-0.58,0.00%,27.63M,-17.55%,-33.30M,-,-0.17,7.70%,0.93% / 3.14,-62.52%,-,-,68.10%,-22.61%,0.26M,-70.76%,0.51,1.62,10.80%,-127.10%,3.50,-68.41%,0.68,1.21,-,-187.50%,0.72,3.74,-6.91%,-,-,-14.90%,-,-77.95%,0.88,-,4.20,-,-,14.51%,0.11,8,4.20,-,-,35.45,13.32%,10.95%,Yes,0.00,-26.20%,-,1.69,0.91,Yes,0.00,-,-,81.65K,2.50,-9.01%,-27.82%,-60.00%,"GT Biopharma, Inc., a clinical stage biopharmaceutical company, focuses on the development and commercialization of immuno-oncology products based on its proprietary Tri-specific Killer Engager (TriKE) fusion protein immune cell engager technology platform. It develops GTB-3550, a single-chain tri-specific recombinant fusion protein conjugate that is in Phase I/II clinical trial for the treatment of myelodysplastic syndromes, refractory/relapsed acute myeloid leukemia or advanced systemic mastocytosis, and CD33+ malignancies. The company is developing GTB-3650, which is in preclinical studies that target CD33 on the surface of myeloid leukemias; and GTB-5550 that is in preclinical studies for treating patients with B7-H3 positive solid tumors. GT Biopharma, Inc. has a co-development partnership agreement with Altor BioScience Corporation for the clinical development of a 161533 TriKE fusion protein for cancer therapies; and a license agreement with the Regents of the University of Minnesota to develop and commercialize cancer therapies using TriKE technology. The company was formerly known as OXIS International, Inc. and changed its name to GT Biopharma, Inc. in July 2017. GT Biopharma, Inc. was incorporated in 1965 and is based in Brisbane, California."
ATER,"Aterian, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,109490000.0,,1.31,-0.0643,1289820.0,Channel Down,1,-,-2.97,3.80%,80.87M,-13.82%,-,-0.69,-1.08%,72.89M,63.40%,-182.60M,-,-0.27,26.20%,9.33% / 3.09,20.18%,229.60M,0.48,-81.40%,49.44%,6.80M,-48.83%,1.54,0.85,71.40%,-69.10%,2.58,-60.78%,0.31,4.21,-,-101.20%,0.67,7.26,70.06%,-,-,-61.20%,-65.60%,-81.96%,1.90,-,0.70,68.70%,49.70%,94.94%,0.15,156,1.70,-2.60%,-69.10%,52.82,11.29%,13.86%,Yes,0.26,42.20%,-79.50%,0.59,1.40,Yes,0.00,Nov 08 AMC,-,2.20M,1.80,0.33%,21.07%,-37.03%,"Aterian, Inc., together with its subsidiaries, operates as a technology-enabled consumer products company in North America and internationally. The company provides Artificial Intelligence Marketplace e-Commerce Engine, a software technology platform, which uses machine learning, natural language processing, and data analytics to design, develop, market, and sell products. Its platform offers home and kitchen appliances; kitchenware; heating, cooling, and health and beauty products; and air quality appliances, such as dehumidifiers, humidifiers, and air conditioners under the hOmeLabs, Vremi, Squatty Potty, Xtava, RIF6, Aussie Health, Holonix, Truweo, Mueller, Pursteam, Pohl and Schmitt, Healing Solutions, Photo Paper Direct, and Spiralizer brands. The company also sells essential oils. It primarily serves individual online consumers through Amazon and other e-commerce platforms, as well as through its owned and operated websites and other marketplaces. The company was formerly known as Mohawk Group Holdings, Inc. and changed its name to Aterian, Inc. in April 2021. Aterian, Inc. was founded in 2014 and is headquartered in New York, New York."
AZPN,"Aspen Technology, Inc.",Technology,Software - Application,USA,13790000000.0,1189.32,209.32,-0.0111,111494.0,Channel Down,1,-,0.18,0.40%,64.62M,1.21%,27.01,7.75,-35.37%,28.07M,3.79%,-12.30M,67.96,1.78,49.00%,3.20% / 3.62,-7.95%,740.20M,18.63,-72.20%,16.41%,0.90M,4.61%,203.45,1.03,9.70%,-,226.83,46.29%,6.77,30.91,17.50%,-,135.48,263.59,1.91%,-,-,-11.10%,0.40%,-20.59%,0.96,-,1.70,-3.90%,65.50%,54.50%,7.59,3574,1.70,196.80%,-,56.16,3.44%,3.79%,Yes,0.02,-,-,0.45,211.66,Yes,0.00,Jan 25 AMC,-,247.84K,2.20,4.68%,0.50%,0.42%,"Aspen Technology, Inc. provides enterprise asset performance management, asset performance monitoring, and asset optimization solutions worldwide. The company's solutions address complex environments where it is critical to optimize the asset design, operation, and maintenance lifecycle. It offers artificial intelligence of things, aspen hybrid models, asset performance management, OSI digital grid management, and performance engineering; production optimization for commodity polymers, olefins, refining, and specialty chemicals; subsurface science and engineering; and value chain optimization for energy and polymers and specialty chemicals solutions. The company serves bulk chemicals, consumer packaged goods, downstream, food and beverage, metals and mining, midstream and LNG, pharmaceuticals, polymers, pulp and paper, specialty chemicals, transportation, upstream, and water and wastewater industries; power generation, transmission, and distribution industries; and engineering, procurement, and construction industries. Aspen Technology, Inc. was incorporated in 2021 and is headquartered in Bedford, Massachusetts."
WULF,TeraWulf Inc.,Financial,Capital Markets,USA,101190000.0,,0.71,0.015,1874635.0,Channel Down,1,-,-0.33,11.60%,108.84M,-31.21%,-,-,0.00%,48.50M,1.55%,-105.30M,-,-,6.60%,4.19% / 1.54,-33.79%,5.47M,18.51,-141.50%,-2.55%,2.03M,-51.80%,1.03,0.69,-,-,5.00,-94.55%,0.03,22.49,-,-,0.55,13.68,6.45%,-,-,-14.72%,-,-94.82%,1.61,-,-,-,-,28.82%,0.12,6,0.20,-17.00%,-,43.41,12.27%,12.50%,Yes,1.14,28.80%,-,1.42,0.70,Yes,0.73,Nov 14 BMO,-,1.32M,2.00,-19.50%,-11.34%,-54.22%,"TeraWulf Inc., together with its subsidiaries, operates as a digital asset technology company in the United States. It develops, owns, and operates bitcoin mining facility sites. The company operates two bitcoin mining facility sites located in New York and Pennsylvania. TeraWulf Inc. is based in Easton, Maryland."
NNBR,"NN, Inc.",Industrials,Conglomerates,USA,94050000.0,,2.2,0.0,45260.0,Channel Down,1,-,-0.56,0.50%,44.71M,-2.22%,17.32,0.13,18.89%,42.26M,29.41%,-25.20M,-,-0.02,75.40%,3.89% / 8.56,6.28%,491.10M,0.19,77.30%,-6.65%,1.64M,-2.22%,4.36,0.50,262.50%,-4.20%,6.25,-32.10%,0.29,7.46,15.00%,-11.30%,1.25,3.61,46.67%,-,-,-18.40%,-2.50%,-39.06%,2.79,-,1.50,-4.00%,16.80%,76.00%,0.15,3172,2.60,8.60%,-2.80%,59.97,7.36%,7.25%,Yes,0.81,12.70%,-4.90%,0.24,2.20,Yes,0.79,Nov 01 AMC,-,191.99K,2.50,6.29%,20.54%,-3.42%,"NN, Inc., a diversified industrial company, designs, manufactures, and sells high-precision components and assemblies. It operates through two segments, Mobile Solutions and Power Solutions. The Mobile Solutions segment manufactures and sells system critical components for general industrial and automotive end markets. This segments products are used in power steering, braking, transmissions, gasoline fuel system, diesel injection, and diesel emissions treatment applications, as well as use in heating, ventilation, and air conditioning. The Power Solutions segment designs, manufactures, and sells a range of high-precision metal and plastic components, assemblies, and finished devices used in various applications, such as power control, flight control, and military devices. Its products include electrical contacts, connectors, contact assemblies, and precision stampings for the electrical, general industrial, automotive, aerospace, defense, and medical end markets. This segment also produces various tools and instruments for the orthopaedics and medical/surgical end markets. NN, Inc. was founded in 1980 and is headquartered in Charlotte, North Carolina."
